,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
126,Vaini,75,TO,1584508631,78,-21.2,-175.2,80.6,8.05
127,The Pas,1,CA,1584508408,58,53.83,-101.25,-4.0,4.7
128,Aktau,90,KZ,1584508632,60,43.65,51.2,41.0,8.95
129,Rio Verde de Mato Grosso,38,BR,1584508632,77,-18.92,-54.84,73.49,4.56
130,Salalah,75,OM,1584508632,69,17.02,54.09,78.8,9.17
131,Atuona,99,PF,1584508632,78,-9.8,-139.03,82.49,12.8
132,Katsuura,20,JP,1584508632,58,35.13,140.3,66.0,6.93
133,Saint-Philippe,40,RE,1584508633,69,-21.36,55.77,86.0,3.36
134,Mpanda,100,TZ,1584508633,91,-6.37,31.04,67.73,3.42
135,Udala,90,ES,1584508633,100,43.08,-2.51,52.0,1.12
136,Lucea,20,JM,1584508633,65,18.45,-78.17,78.8,12.75
137,Pevek,100,RU,1584508510,93,69.7,170.31,13.55,13.67
138,Uyutnoye,98,UA,1584508634,60,45.2,33.3,40.55,18.77
139,Leshukonskoye,100,RU,1584508634,94,64.9,45.76,27.77,8.77
140,Magnitogorsk,40,RU,1584508590,74,53.42,59.05,30.2,8.95
141,Kabo,99,CF,1584508635,28,7.7,18.63,75.29,2.13
142,Vredendal,14,ZA,1584508635,91,-31.67,18.5,59.09,2.3
143,Ixtapa,5,MX,1584508635,83,20.7,-105.2,73.4,1.16
144,Vaitape,100,PF,1584508636,70,-16.52,-151.75,83.57,5.66
145,Yellowknife,20,CA,1584508636,83,62.46,-114.35,-9.0,4.7
146,Verkhoshizhem'ye,99,RU,1584508636,94,58.01,49.1,32.99,11.74
147,Ascension,1,US,1584508636,100,30.22,-90.9,70.0,4.9
148,Mahébourg,40,MU,1584508636,78,-20.41,57.7,82.4,6.93
149,Kudahuvadhoo,5,MV,1584508637,76,2.67,72.89,84.83,14.65
150,Avera,90,US,1584508637,93,33.19,-82.53,60.01,1.74
151,Paamiut,100,GL,1584508637,84,61.99,-49.67,15.89,15.93
152,Ancud,0,CL,1584508637,93,-41.87,-73.82,48.2,8.05
153,Constitución,0,CL,1584508638,76,-35.33,-72.42,54.59,3.85
154,Krasnyy Chikoy,79,RU,1584508638,70,50.36,108.75,22.73,12.59
155,Inverell,0,AU,1584508638,34,-29.78,151.12,79.0,5.01
156,Mehamn,75,NO,1584508638,85,71.04,27.85,24.8,3.36
157,Helong,78,CN,1584508638,58,42.54,129.0,47.03,9.78
158,Bilibino,93,RU,1584508639,95,68.05,166.44,6.53,3.4
159,Hulan,100,CN,1584508639,46,45.98,126.6,50.0,6.71
160,Berlevåg,75,NO,1584508639,85,70.86,29.09,24.8,3.36
161,Torbay,90,CA,1584508639,74,47.67,-52.73,32.0,27.51
162,Rafaela,84,AR,1584508640,84,-31.25,-61.49,64.99,5.99
163,Gigmoto,8,PH,1584508640,76,13.78,124.39,79.79,12.88
164,Lagoa,10,PT,1584508640,84,39.05,-27.98,62.15,15.12
165,Sitka,1,US,1584508640,80,57.05,-135.33,39.2,6.13
166,Praia,20,CV,1584508538,68,14.92,-23.51,68.0,6.93
167,Saint Anthony,90,US,1584508641,60,45.02,-93.22,39.99,8.05
168,Katobu,54,ID,1584508641,79,-4.94,122.53,84.29,3.11
169,Collie,28,AU,1584508641,32,-33.37,116.15,72.0,11.48
170,Hailar,0,CN,1584508642,84,49.2,119.7,26.15,14.85
171,Ngorongoro,91,TZ,1584508642,75,-3.24,35.49,68.45,1.74
172,Tasiilaq,85,GL,1584508642,72,65.61,-37.64,14.0,2.24
173,Arlit,0,NE,1584508642,9,18.74,7.39,76.19,8.97
174,Garoowe,79,SO,1584508642,61,8.41,48.48,77.99,9.98
175,Krasnogorsk,75,RU,1584508493,80,55.82,37.32,39.0,13.42
176,Plouzané,51,FR,1584508643,100,48.38,-4.62,42.8,8.05
177,Fortuna,90,US,1584508643,87,40.6,-124.16,46.4,18.34
178,Makkah al Mukarramah,0,SA,1584508643,32,21.43,39.83,76.01,7.52
179,Ivanovo,74,RU,1584508643,79,56.99,40.99,36.59,13.33
180,Rawson,0,AR,1584508644,70,-43.3,-65.1,59.81,11.68
181,Arona,90,ES,1584508644,87,28.1,-16.68,64.0,20.8
182,Zapolyarnyy,75,RU,1584508644,92,69.42,30.81,26.6,10.29
183,Yeppoon,4,AU,1584508644,45,-23.13,150.73,84.2,9.17
184,Yulara,0,AU,1584508645,14,-25.24,130.99,98.6,4.7
185,Lázaro Cárdenas,0,MX,1584508645,86,17.96,-102.2,72.95,2.24
186,La Ronge,20,CA,1584508645,69,55.1,-105.28,-11.2,2.48
187,Vila Velha,40,BR,1584508646,94,-20.33,-40.29,78.01,3.36
188,Geelong,100,AU,1584508646,34,-38.15,144.36,84.99,19.46
189,Kailua,90,US,1584508646,88,21.4,-157.74,75.2,11.41
190,Hambantota,75,LK,1584508646,79,6.12,81.12,86.0,13.87
191,Flin Flon,64,CA,1584508646,95,54.77,-101.86,-8.77,3.42
192,Nur-Sultan,75,KZ,1584508502,86,51.18,71.45,28.4,17.9
193,Broome,20,US,1584508647,69,42.25,-75.83,37.0,6.93
194,Chokurdakh,71,RU,1584508648,92,70.63,147.92,-18.31,10.67
195,Uvinza,100,TZ,1584508648,97,-5.1,30.39,67.19,3.02
196,La Romana,20,DO,1584508648,78,18.43,-68.97,77.0,6.93
197,Aykhal,5,RU,1584508649,44,66.0,111.5,-2.2,8.95
198,Khrebtovaya,94,RU,1584508649,87,56.7,104.25,22.37,9.89
199,Xiaoweizhai,82,CN,1584508649,73,26.19,107.51,60.71,2.75
200,Chichimila,5,MX,1584508649,98,20.62,-88.22,68.99,2.91
201,Hasaki,20,JP,1584508649,29,35.73,140.83,66.0,9.17
202,Shenjiamen,9,CN,1584508650,74,29.96,122.3,58.19,10.18
203,Basco,39,PH,1584508650,72,20.45,121.97,74.93,14.56
204,Donskoy,38,RU,1584508650,76,53.97,38.34,36.41,13.18
205,Hobyo,89,SO,1584508651,60,5.35,48.53,83.57,16.04
206,Altay,59,CN,1584508651,96,47.87,88.12,34.79,0.94
207,Mora,100,CM,1584508651,21,11.05,14.14,68.99,1.79
208,Vanimo,73,PG,1584508651,78,-2.67,141.3,83.39,15.86
209,Najrān,100,SA,1584508652,46,17.49,44.13,69.8,3.36
210,Kalmunai,91,LK,1584508652,77,7.42,81.82,81.95,9.51
211,Port Blair,61,IN,1584508419,62,11.67,92.75,83.57,10.02
212,Batagay,100,RU,1584508652,81,67.63,134.63,0.95,4.16
213,Hithadhoo,0,MV,1584508652,72,-0.6,73.08,85.19,9.04
214,Liverpool,75,GB,1584508490,100,53.41,-2.98,46.99,10.29
215,Radom,96,PL,1584508653,73,51.4,21.15,46.0,3.0
216,Roblin,100,CA,1584508653,92,51.23,-101.36,9.41,11.05
217,Nova Olímpia,74,BR,1584508653,91,-14.8,-57.29,73.49,2.24
218,Tulsīpur,0,NP,1584508654,30,28.13,82.3,77.27,6.91
219,Shache,100,CN,1584508654,15,38.42,77.24,60.89,3.96
220,Hong Kong,40,HK,1584508654,88,22.29,114.16,73.4,4.7
221,Benguela,100,AO,1584508535,81,-12.58,13.41,76.91,2.39
222,Juneau,40,US,1584508654,65,58.3,-134.42,35.01,3.36
223,Azare,51,NG,1584508655,12,11.68,10.19,67.55,6.22
224,Pasni,0,PK,1584508655,9,25.26,63.47,88.25,3.27
225,Vostok,100,RU,1584508655,87,46.49,135.88,31.19,6.33
226,Freeport,40,US,1584508573,49,40.66,-73.58,48.99,9.17
227,Calabozo,21,VE,1584508655,65,8.92,-67.43,72.41,6.58
228,San Cristobal,20,VE,1584508656,73,7.77,-72.22,77.0,4.7
229,Cherskiy,100,RU,1584508656,95,68.75,161.3,-1.03,7.61
230,Jumla,0,NP,1584508656,19,29.27,82.18,56.03,4.94
231,Bambous Virieux,40,MU,1584508656,78,-20.34,57.76,82.4,6.93
232,Qaqortoq,61,GL,1584508657,36,60.72,-46.03,14.0,10.29
233,Tuktoyaktuk,75,CA,1584508657,83,69.45,-133.04,-7.6,8.05
234,Nioki,94,CD,1584508657,89,-2.72,17.68,74.39,2.28
235,Kumul,10,CN,1584508657,16,42.8,93.45,57.29,3.71
236,San Patricio,0,MX,1584508657,81,19.22,-104.7,74.93,4.09
237,Provincia di Benevento,90,IT,1584508658,87,41.22,14.75,53.01,2.15
238,Namatanai,79,PG,1584508658,71,-3.67,152.43,84.65,4.27
239,Puerto Escondido,2,MX,1584508658,73,15.85,-97.07,70.61,2.89
240,Noumea,90,NC,1584508505,65,-22.28,166.46,78.8,17.22
241,Kungurtug,86,RU,1584508659,62,50.6,97.52,31.37,1.63
242,Fare,100,PF,1584508659,68,-16.7,-151.02,83.75,5.17
243,Chifeng,79,CN,1584508659,36,42.27,118.96,49.91,20.04
244,Nizhniy Odes,100,RU,1584508659,82,63.64,54.86,26.51,13.15
245,Chara,100,RU,1584508659,71,56.91,118.26,29.03,7.31
246,Guangzhou,75,CN,1584508660,83,23.12,113.25,73.0,2.24
247,San Ignacio Río Muerto,0,MX,1584508660,53,27.42,-110.23,61.25,5.55
248,Tyrma,99,RU,1584508660,89,50.08,132.17,32.45,2.15
249,Bacong,1,PH,1584508661,76,9.25,123.3,82.31,12.41
250,Karratha,0,AU,1584508661,55,-20.74,116.85,90.23,10.4
251,Vardø,75,NO,1584508661,92,70.37,31.11,26.6,5.82
252,Portland,1,US,1584508281,81,45.52,-122.68,50.0,5.37
253,Kosa,76,RU,1584508662,90,59.94,55.0,26.51,10.2
254,Salinópolis,99,BR,1584508662,82,-0.61,-47.36,81.77,10.83
255,Bandarbeyla,47,SO,1584508662,73,9.49,50.81,79.25,11.92
256,Bani Walid,79,LY,1584508662,87,31.76,13.99,51.89,15.97
257,Kajaani,40,FI,1584508662,96,64.23,27.73,32.0,10.29
258,Omboué,99,GA,1584508663,94,-1.57,9.26,76.19,2.71
259,Faanui,100,PF,1584508663,70,-16.48,-151.75,83.57,5.66
260,Klyuchi,3,RU,1584508663,86,52.27,79.17,29.39,16.84
261,Viedma,17,AR,1584508663,85,-40.81,-63.0,60.35,11.18
262,Sørland,75,NO,1584508664,80,67.67,12.69,35.6,5.82
263,Felanitx,32,ES,1584508664,76,39.47,3.15,57.2,9.17
264,Chernyshevskiy,85,RU,1584508664,91,63.01,112.47,3.47,5.12
265,Tegul'det,100,RU,1584508664,82,57.31,88.17,29.21,19.53
266,Mogadishu,75,SO,1584508440,69,2.04,45.34,82.4,5.82
267,Arrondissement de Lons-le-Saunier,0,FR,1584508665,93,46.75,5.75,45.0,1.12
268,Warwick,1,US,1584508399,86,41.7,-71.42,43.0,9.33
269,Zhuhai,40,CN,1584508665,94,22.28,113.57,73.4,4.7
270,Kautokeino,97,NO,1584508665,80,69.01,23.04,24.71,10.45
271,Biak,43,ID,1584508666,72,-0.91,122.88,85.19,13.35
272,Tari,92,NG,1584508666,8,12.41,4.49,74.03,9.22
273,Ostrovnoy,93,RU,1584508666,93,68.05,39.51,23.81,11.99
274,Mombetsu,20,JP,1584508666,36,44.35,143.35,46.4,13.87
275,Nouadhibou,53,MR,1584508666,72,20.93,-17.03,60.8,24.16
276,Udarnyy,28,RU,1584508667,69,54.34,42.86,36.23,10.09
277,Airai,5,TL,1584508667,52,-8.93,125.41,79.97,6.6
278,Bykovo,40,RU,1584508667,69,55.64,38.08,39.0,6.71
279,Rock Sound,0,BS,1584508668,80,24.9,-76.2,73.31,13.31
280,Port Hardy,5,CA,1584508502,86,50.7,-127.42,33.8,3.36
281,Falam,0,MM,1584508668,17,22.92,93.68,79.97,5.37
282,Carnot,95,CF,1584508668,45,4.94,15.87,70.61,3.6
283,Kaminoyama,75,JP,1584508668,35,38.15,140.27,55.99,17.22
284,Bhatkal,17,IN,1584508669,71,13.97,74.57,82.13,8.59
285,Abong Mbang,100,CM,1584508669,90,3.98,13.18,71.33,2.13
286,Touros,40,BR,1584508669,94,-5.2,-35.46,77.0,4.7
287,Málaga,20,ES,1584508620,82,36.72,-4.42,60.8,5.82
288,Nikolskoye,90,RU,1584508669,86,59.7,30.79,39.2,11.18
289,Provideniya,90,RU,1584508670,98,64.38,-173.3,32.0,22.37
290,College,90,US,1584508670,74,64.86,-147.8,32.0,0.92
291,Pechenga,75,RU,1584508670,92,69.53,31.17,26.6,10.29
292,Ampére,0,BR,1584508670,94,-25.91,-53.47,68.09,3.0
293,Whitehaven,100,GB,1584508671,97,54.55,-3.58,44.01,7.05
294,San Rafael,0,AR,1584508671,42,-34.62,-68.33,58.91,1.74
295,Prieska,0,ZA,1584508671,51,-29.66,22.75,74.39,15.39
296,Kruisfontein,0,ZA,1584508671,72,-34.0,24.73,65.57,12.64
297,Kamenka,21,RU,1584508672,69,51.32,42.77,33.01,1.01
298,Oranjestad,40,AW,1584508672,74,12.52,-70.03,78.8,13.87
299,Tsimlyansk,83,RU,1584508672,57,47.65,42.1,41.63,10.02
300,Caravelas,24,BR,1584508672,78,-17.71,-39.25,80.15,4.45
301,Mattru,52,SL,1584508672,89,7.62,-11.83,77.27,3.13
302,Bengkulu,98,ID,1584508673,83,-3.8,102.27,83.39,5.79
303,Luganville,75,VU,1584508673,79,-15.53,167.17,84.2,2.24
304,Mumbai,20,IN,1584508385,21,19.01,72.85,93.2,8.05
305,Cotonou,40,BJ,1584508525,88,6.37,2.42,82.4,12.75
306,Umm Kaddadah,13,SD,1584508674,16,13.6,26.69,74.57,21.77
307,Mirandela,0,PT,1584508674,99,41.49,-7.19,37.99,5.66
308,Shitanjing,62,CN,1584508674,21,39.23,106.34,54.59,18.61
309,Miracatu,4,BR,1584508674,99,-24.28,-47.46,69.35,2.06
310,Matara,97,LK,1584508674,50,5.95,80.54,91.13,10.89
311,Adana Province,75,TR,1584508675,87,36.98,35.29,44.6,5.82
312,Jinka,94,ET,1584508675,68,5.65,36.65,77.81,3.83
313,Fonte Boa,100,BR,1584508675,94,-2.5,-66.27,73.49,3.02
314,Aksha,0,RU,1584508675,39,50.28,113.29,32.27,22.35
315,Pringsewu,60,ID,1584508675,66,-5.36,104.97,86.09,5.99
316,Nioro,0,GM,1584508676,45,13.35,-15.75,66.29,7.14
317,Russkiy Kameshkir,0,RU,1584508676,65,52.86,46.09,35.15,10.29
318,Ossora,100,RU,1584508677,75,59.24,163.07,20.93,16.42
319,Almaznyy,0,RU,1584508677,79,48.04,40.05,23.0,2.24
320,Weinan,5,CN,1584508677,7,34.5,109.51,77.0,15.66
321,Yerbogachën,3,RU,1584508677,86,61.28,108.01,10.49,7.38
322,Narsaq,79,GL,1584508677,36,60.92,-46.05,14.0,10.29
323,Verkhniye Tatyshly,78,RU,1584508678,94,56.29,55.86,28.67,9.71
324,Cidreira,68,BR,1584508678,85,-30.18,-50.21,73.67,22.95
325,General Nakar,77,PH,1584508678,73,14.76,121.64,76.01,5.57
326,Tateyama,20,JP,1584508678,58,34.98,139.87,64.4,6.93
327,Badarwās,0,IN,1584508679,14,24.97,77.57,86.63,2.71
328,Malumfashi,100,NG,1584508679,10,11.79,7.62,68.81,10.18
329,Barrow,90,US,1584508679,78,71.29,-156.79,15.8,18.34
330,Okhotsk,0,RU,1584508679,77,59.38,143.3,14.81,1.41
331,São João da Barra,100,BR,1584508679,88,-21.64,-41.05,76.55,4.5
332,Darhan,0,MN,1584508680,48,49.49,105.92,34.25,10.45
333,Tadine,90,NC,1584508680,77,-21.55,167.88,75.47,15.01
334,Lüderitz,0,NA,1584508680,87,-26.65,15.16,59.0,6.93
335,Mossamedes,100,AO,1584508680,78,-15.2,12.15,74.03,7.61
336,Turan,40,VN,1584508619,66,16.07,108.22,86.0,10.29
337,Te Anau,83,NZ,1584508681,71,-45.42,167.72,52.43,11.07
338,Norman Wells,75,CA,1584508681,85,65.28,-126.83,15.8,3.36
339,Mount Gambier,75,AU,1584508681,41,-37.83,140.77,77.0,11.41
340,Saint-Augustin,100,CA,1584508681,95,51.23,-58.65,27.41,25.95
341,Kaitangata,64,NZ,1584508682,77,-46.28,169.85,54.05,6.73
342,Beira,75,MZ,1584508682,78,-19.84,34.84,73.4,10.29
343,Burgeo,100,CA,1584508683,97,47.62,-57.62,31.19,25.48
344,Imperatriz,20,BR,1584508683,94,-5.53,-47.49,78.8,2.24
345,San Policarpo,82,PH,1584508683,67,12.18,125.51,82.13,6.8
346,Road Town,1,VG,1584508683,83,18.42,-64.62,77.0,4.7
347,Lodwar,100,KE,1584508684,54,3.12,35.6,84.65,11.88
348,Rujewa,75,TZ,1584508684,80,-8.7,34.38,71.87,1.19
349,Lafiagi,99,NG,1584508684,74,8.87,5.42,80.69,4.81
350,Kamimaruko,20,JP,1584508684,26,36.32,138.27,60.01,5.82
351,Pen,20,IN,1584508684,21,18.75,73.08,93.2,8.05
352,Manado,40,ID,1584508672,62,1.49,124.85,87.8,8.05
353,Saint-Pierre,40,RE,1584508685,69,-21.34,55.48,86.0,3.36
354,Cayenne,75,GF,1584508685,94,4.93,-52.33,75.2,2.24
355,Tazovsky,70,RU,1584508685,92,67.47,78.7,11.39,16.55
356,Aasiaat,99,GL,1584508686,72,68.71,-52.87,4.91,12.84
357,Port Macquarie,0,AU,1584508686,56,-31.43,152.92,75.99,9.17
358,Porto-Novo,40,BJ,1584508686,88,6.5,2.6,82.4,12.75
359,Crestview,75,US,1584508686,93,30.76,-86.57,72.0,2.89
360,Dubbo,0,AU,1584508687,32,-32.25,148.62,80.6,6.93
361,Omaha,90,US,1584508629,87,41.26,-95.94,44.01,5.82
362,Itarema,43,BR,1584508687,96,-2.92,-39.92,74.21,3.24
363,Florø,40,NO,1584508687,80,61.6,5.03,39.2,20.8
364,Codrington,100,AU,1584508687,69,-38.27,141.97,65.39,8.05
365,Dekar,0,BW,1584508688,75,-21.53,21.93,66.83,12.53
366,Troitskoye,75,RU,1584508688,86,52.98,84.68,32.09,11.65
367,Villazón,100,BO,1584508688,76,-22.09,-65.59,51.89,5.77
368,Pangai,75,TO,1584508688,83,-19.8,-174.35,82.4,5.82
369,Klaksvík,94,FO,1584508689,64,62.23,-6.59,39.2,24.16
370,Narón,0,ES,1584508689,100,43.52,-8.15,54.0,3.09
371,Shihezi,97,CN,1584508689,28,44.3,86.03,61.97,5.55
372,Dolisie,100,CG,1584508690,94,-4.2,12.67,73.49,1.3
373,Flinders,0,AU,1584508690,26,-34.58,150.86,84.2,11.41
374,Laguna,75,US,1584508618,81,38.42,-121.42,48.99,6.93
